SIZE,DURATION,MODE,TIME,MIN,MAX,N
100,10,GPU,0.12305688858032227,0.11300063133239746,0.13599848747253418,10
100,510,GPU,0.12390372753143311,0.11600637435913086,0.13500142097473145,10
100,1010,GPU,0.12171814441680909,0.11836004257202148,0.12883281707763672,10
100,1510,GPU,0.1285839319229126,0.12400054931640625,0.13200044631958008,10
100,2010,GPU,0.13391509056091308,0.13005423545837402,0.1379988193511963,10
100,2510,GPU,0.13749916553497316,0.13435101509094238,0.15099596977233887,10
100,3010,GPU,0.14337124824523925,0.14017224311828613,0.1492924690246582,10
100,3510,GPU,0.14878153800964355,0.14695358276367188,0.15218472480773926,10
100,4010,GPU,0.15508038997650148,0.15196990966796875,0.17300009727478027,10
100,4510,GPU,0.16057155132293702,0.15805363655090332,0.1652827262878418,10
100,5010,GPU,0.16748688220977784,0.1655261516571045,0.17380714416503906,10
100,5510,GPU,0.18325703144073485,0.17616534233093262,0.19423770904541016,10
100,6010,GPU,0.20207681655883789,0.1827864646911621,0.2159256935119629,10
100,6510,GPU,0.2109081506729126,0.18955135345458984,0.2500014305114746,10
100,7010,GPU,0.2112414836883545,0.20047855377197266,0.23599863052368164,10
100,7510,GPU,0.23122477531433105,0.21324849128723145,0.303999662399292,10
100,8010,GPU,0.23354196548461914,0.21983861923217773,0.2440018653869629,10
100,8510,GPU,0.2299593448638916,0.22784090042114258,0.23698806762695312,10
100,9010,GPU,0.24812228679656984,0.2383267879486084,0.26399803161621094,10
100,9510,GPU,0.2525647640228271,0.24899697303771973,0.26465344429016113,10
500,10,GPU,0.1930931329727173,0.18185138702392578,0.20684003829956055,10
500,510,GPU,0.18729040622711182,0.18200087547302246,0.20041203498840332,10
500,1010,GPU,0.18759474754333497,0.18207049369812012,0.1936502456665039,10
500,1510,GPU,0.20781538486480713,0.19104909896850586,0.22807574272155762,10
500,2010,GPU,0.20607419013977052,0.19971370697021484,0.21670246124267578,10
500,2510,GPU,0.21310708522796631,0.2089536190032959,0.21915626525878906,10
500,3010,GPU,0.22139627933502198,0.21452021598815918,0.23314166069030762,10
500,3510,GPU,0.22796096801757812,0.22490453720092773,0.23715853691101074,10
500,4010,GPU,0.24106850624084472,0.23339605331420898,0.25099992752075195,10
500,4510,GPU,0.2636790037155151,0.2484738826751709,0.2989470958709717,10
500,5010,GPU,0.2648483753204346,0.258040189743042,0.27887964248657227,10
500,5510,GPU,0.2770810842514038,0.26703619956970215,0.2858402729034424,10
500,6010,GPU,0.28449676036834715,0.2815263271331787,0.2927403450012207,10
500,6510,GPU,0.30034661293029785,0.29345703125,0.30900073051452637,10
500,7010,GPU,0.31378564834594724,0.3080437183380127,0.3230583667755127,10
500,7510,GPU,0.32861649990081787,0.3203303813934326,0.337780237197876,10
