SIZE,DURATION,MODE,TIME
10,10,CPU,0.0069980621337890625
10,10,CPU,0.007000446319580078
10,10,CPU,0.007000446319580078
10,10,CPU,0.006000041961669922
10,10,CPU,0.00600123405456543
10,10,CPU,0.0069963932037353516
10,10,CPU,0.006002187728881836
10,10,CPU,0.00600123405456543
10,10,CPU,0.0069980621337890625
10,10,CPU,0.005999326705932617
10,510,CPU,0.009000301361083984
10,510,CPU,0.009001970291137695
10,510,CPU,0.009997129440307617
10,510,CPU,0.009001970291137695
10,510,CPU,0.009001493453979492
10,510,CPU,0.008999824523925781
10,510,CPU,0.009996891021728516
10,510,CPU,0.009002447128295898
10,510,CPU,0.008998632431030273
10,510,CPU,0.009998559951782227
10,1010,CPU,0.013002157211303711
10,1010,CPU,0.012998580932617188
10,1010,CPU,0.012000083923339844
10,1010,CPU,0.012999534606933594
10,1010,CPU,0.012001752853393555
10,1010,CPU,0.012997865676879883
10,1010,CPU,0.011999130249023438
10,1010,CPU,0.013001203536987305
10,1010,CPU,0.01199960708618164
10,1010,CPU,0.012001752853393555
10,1510,CPU,0.015999317169189453
10,1510,CPU,0.015001296997070312
10,1510,CPU,0.014996528625488281
10,1510,CPU,0.016002655029296875
10,1510,CPU,0.014999151229858398
10,1510,CPU,0.016001224517822266
10,1510,CPU,0.014999866485595703
10,1510,CPU,0.015998363494873047
10,1510,CPU,0.0149993896484375
10,1510,CPU,0.016002178192138672
10,2010,CPU,0.01900029182434082
10,2010,CPU,0.01899886131286621
10,2010,CPU,0.019001245498657227
10,2010,CPU,0.017998456954956055
10,2010,CPU,0.019001007080078125
10,2010,CPU,0.017998218536376953
10,2010,CPU,0.019001007080078125
10,2010,CPU,0.020000696182250977
10,2010,CPU,0.018999338150024414
10,2010,CPU,0.019000530242919922
10,2510,CPU,0.02400040626525879
10,2510,CPU,0.022001266479492188
10,2510,CPU,0.021999120712280273
10,2510,CPU,0.021999835968017578
10,2510,CPU,0.022998809814453125
10,2510,CPU,0.021999597549438477
10,2510,CPU,0.02200174331665039
10,2510,CPU,0.020998001098632812
10,2510,CPU,0.02100062370300293
10,2510,CPU,0.021999359130859375
10,3010,CPU,0.025000572204589844
10,3010,CPU,0.026000499725341797
10,3010,CPU,0.023998498916625977
10,3010,CPU,0.0240020751953125
10,3010,CPU,0.023996591567993164
10,3010,CPU,0.0240018367767334
10,3010,CPU,0.025001049041748047
10,3010,CPU,0.023997783660888672
10,3010,CPU,0.024000167846679688
10,3010,CPU,0.02400040626525879
10,3510,CPU,0.028002023696899414
10,3510,CPU,0.028999805450439453
10,3510,CPU,0.02800130844116211
10,3510,CPU,0.027996301651000977
10,3510,CPU,0.02800297737121582
10,3510,CPU,0.027998685836791992
10,3510,CPU,0.0279996395111084
10,3510,CPU,0.028999805450439453
10,3510,CPU,0.02800154685974121
10,3510,CPU,0.028998136520385742
10,4010,CPU,0.031001567840576172
10,4010,CPU,0.03199911117553711
10,4010,CPU,0.029999971389770508
10,4010,CPU,0.03099679946899414
10,4010,CPU,0.03000044822692871
10,4010,CPU,0.03199911117553711
10,4010,CPU,0.030002117156982422
10,4010,CPU,0.030999422073364258
10,4010,CPU,0.030998945236206055
10,4010,CPU,0.031000852584838867
10,4510,CPU,0.03399825096130371
10,4510,CPU,0.03500056266784668
10,4510,CPU,0.034001827239990234
10,4510,CPU,0.03399801254272461
10,4510,CPU,0.03400087356567383
10,4510,CPU,0.03399944305419922
10,4510,CPU,0.03300046920776367
10,4510,CPU,0.03400087356567383
10,4510,CPU,0.03299856185913086
10,4510,CPU,0.03299999237060547
10,5010,CPU,0.03600287437438965
10,5010,CPU,0.03699779510498047
10,5010,CPU,0.03599977493286133
10,5010,CPU,0.03699922561645508
10,5010,CPU,0.03600144386291504
10,5010,CPU,0.03599977493286133
10,5010,CPU,0.03599882125854492
10,5010,CPU,0.03600358963012695
10,5010,CPU,0.035996437072753906
10,5010,CPU,0.036002159118652344
10,5510,CPU,0.03899884223937988
10,5510,CPU,0.040000200271606445
10,5510,CPU,0.038997650146484375
10,5510,CPU,0.04000043869018555
10,5510,CPU,0.039000511169433594
10,5510,CPU,0.03900003433227539
10,5510,CPU,0.04000043869018555
10,5510,CPU,0.03899860382080078
10,5510,CPU,0.04000139236450195
10,5510,CPU,0.04000210762023926
10,6010,CPU,0.04399824142456055
10,6010,CPU,0.042998313903808594
10,6010,CPU,0.04300045967102051
10,6010,CPU,0.042000770568847656
10,6010,CPU,0.040999650955200195
10,6010,CPU,0.042999982833862305
10,6010,CPU,0.0410006046295166
10,6010,CPU,0.04300045967102051
10,6010,CPU,0.041999101638793945
10,6010,CPU,0.043999433517456055
10,6510,CPU,0.04700326919555664
10,6510,CPU,0.0469965934753418
10,6510,CPU,0.045001983642578125
10,6510,CPU,0.04600024223327637
10,6510,CPU,0.045998573303222656
10,6510,CPU,0.04599905014038086
10,6510,CPU,0.045001983642578125
10,6510,CPU,0.04600119590759277
10,6510,CPU,0.04499697685241699
10,6510,CPU,0.04500079154968262
10,7010,CPU,0.049001216888427734
10,7010,CPU,0.048998117446899414
10,7010,CPU,0.04800009727478027
10,7010,CPU,0.048000335693359375
10,7010,CPU,0.048000335693359375
10,7010,CPU,0.04900097846984863
10,7010,CPU,0.04799795150756836
10,7010,CPU,0.048003435134887695
10,7010,CPU,0.04799675941467285
10,7010,CPU,0.048000335693359375
10,7510,CPU,0.05200004577636719
10,7510,CPU,0.051000356674194336
10,7510,CPU,0.050998687744140625
10,7510,CPU,0.051000356674194336
10,7510,CPU,0.05100107192993164
10,7510,CPU,0.051000118255615234
10,7510,CPU,0.05000114440917969
10,7510,CPU,0.05199837684631348
10,7510,CPU,0.04999995231628418
10,7510,CPU,0.05200076103210449
10,8010,CPU,0.05399942398071289
10,8010,CPU,0.054999351501464844
10,8010,CPU,0.054000139236450195
10,8010,CPU,0.054000139236450195
10,8010,CPU,0.054001808166503906
10,8010,CPU,0.0559992790222168
10,8010,CPU,0.05401921272277832
10,8010,CPU,0.05498194694519043
10,8010,CPU,0.053999900817871094
10,8010,CPU,0.05399894714355469
10,8510,CPU,0.05699777603149414
10,8510,CPU,0.05800008773803711
10,8510,CPU,0.056999921798706055
10,8510,CPU,0.057000160217285156
10,8510,CPU,0.05700039863586426
10,8510,CPU,0.057999610900878906
10,8510,CPU,0.05800008773803711
10,8510,CPU,0.058001041412353516
10,8510,CPU,0.0560002326965332
10,8510,CPU,0.05899930000305176
10,9010,CPU,0.059999942779541016
10,9010,CPU,0.06000041961669922
10,9010,CPU,0.059999942779541016
10,9010,CPU,0.05999875068664551
10,9010,CPU,0.05900001525878906
10,9010,CPU,0.06100010871887207
10,9010,CPU,0.059000253677368164
10,9010,CPU,0.060999393463134766
10,9010,CPU,0.06000256538391113
10,9010,CPU,0.05999875068664551
10,9510,CPU,0.06200098991394043
10,9510,CPU,0.06399869918823242
10,9510,CPU,0.06200075149536133
10,9510,CPU,0.06300115585327148
10,9510,CPU,0.06299853324890137
10,9510,CPU,0.06299877166748047
10,9510,CPU,0.06300234794616699
10,9510,CPU,0.06299901008605957
10,9510,CPU,0.06299948692321777
10,9510,CPU,0.06299948692321777
510,10,CPU,0.15800094604492188
510,10,CPU,0.16199946403503418
510,10,CPU,0.16100120544433594
510,10,CPU,0.15799880027770996
510,10,CPU,0.15700173377990723
510,10,CPU,0.1589984893798828
510,10,CPU,0.15700125694274902
510,10,CPU,0.16100239753723145
510,10,CPU,0.15799641609191895
510,10,CPU,0.15799951553344727
1010,10,CPU,0.6069998741149902
1010,10,CPU,0.6029996871948242
1010,10,CPU,0.6070003509521484
1010,10,CPU,0.6029999256134033
1010,10,CPU,0.6140003204345703
1010,10,CPU,0.603001594543457
1010,10,CPU,0.6039998531341553
1010,10,CPU,0.6029987335205078
1010,10,CPU,0.6100003719329834
