SIZE,DURATION,MODE,TIME,MIN,MAX,N
60,1710,CPU,0.35070004463195803,0.3490114212036133,0.3529982566833496,10
60,1760,CPU,0.3608999252319336,0.35900115966796875,0.3659980297088623,10
60,1810,CPU,0.37199997901916504,0.367999792098999,0.37600064277648926,10
60,1860,CPU,0.3814002513885498,0.3780026435852051,0.3860001564025879,10
60,1910,CPU,0.39240012168884275,0.38800048828125,0.39799976348876953,10
60,1960,CPU,0.4020000696182251,0.3979990482330322,0.4070017337799072,10
60,2010,CPU,0.41259989738464353,0.4089992046356201,0.41699934005737305,10
60,2060,CPU,0.4214000940322876,0.41899991035461426,0.4249992370605469,10
60,2110,CPU,0.43099997043609617,0.42799997329711914,0.4369983673095703,10
60,2160,CPU,0.4408000707626343,0.4380016326904297,0.4440007209777832,10
60,2210,CPU,0.45020010471343996,0.4479992389678955,0.45399999618530273,10
60,2260,CPU,0.4611999034881592,0.45800042152404785,0.4680004119873047,10
60,2310,CPU,0.470900821685791,0.4679994583129883,0.4740016460418701,10
60,2360,CPU,0.4989001989364624,0.48000121116638184,0.5090005397796631,10
60,2410,CPU,0.5061995029449463,0.48999667167663574,0.528994083404541,10
60,2460,CPU,0.506799864768982,0.5,0.5150010585784912,10
60,2510,CPU,0.5148001194000245,0.5119986534118652,0.5210003852844238,10
60,2560,CPU,0.5263999938964844,0.5199985504150391,0.5400006771087646,10
60,2610,CPU,0.5353002786636353,0.5310003757476807,0.5419998168945312,10
60,2660,CPU,0.5476996898651123,0.5409996509552002,0.5600001811981201,10
60,2710,CPU,0.5548001766204834,0.5509994029998779,0.5609993934631348,10
60,2760,CPU,0.5670248031616211,0.5605287551879883,0.5730011463165283,10
60,2810,CPU,0.5772998571395874,0.5720000267028809,0.5849997997283936,10
60,2860,CPU,0.5834001541137696,0.580000638961792,0.5880007743835449,10
60,2910,CPU,0.5959002256393433,0.5900008678436279,0.6109969615936279,10
60,2960,CPU,0.6070998191833497,0.6009988784790039,0.6150000095367432,10
60,3010,CPU,0.6141999959945679,0.6100034713745117,0.6209979057312012,10
60,3060,CPU,0.6244029760360718,0.6200010776519775,0.6309988498687744,10
60,3110,CPU,0.6327000856399536,0.6300013065338135,0.6359999179840088,10
60,3160,CPU,0.6445000171661377,0.6400020122528076,0.6499993801116943,10
60,3210,CPU,0.6544999122619629,0.6499991416931152,0.6619970798492432,10
60,3260,CPU,0.6661001682281494,0.6599998474121094,0.6819982528686523,10
60,3310,CPU,0.676900315284729,0.6719987392425537,0.6920015811920166,10
60,3360,CPU,0.6843998670578003,0.6809995174407959,0.687999963760376,10
60,3410,CPU,0.6957999229431152,0.69100022315979,0.703000545501709,10
60,3460,CPU,0.7046547889709472,0.7009990215301514,0.7100017070770264,10
60,3510,CPU,0.7134998559951782,0.7109997272491455,0.716998815536499,10
60,3560,CPU,0.7244000196456909,0.720001220703125,0.7319998741149902,10
60,3610,CPU,0.7377999782562256,0.7299995422363281,0.7500002384185791,10
60,3660,CPU,0.7504005432128906,0.7449965476989746,0.7580010890960693,10
60,3710,CPU,0.7569000244140625,0.7519967555999756,0.762000560760498,10
60,3760,CPU,0.7690001964569092,0.7630014419555664,0.774000883102417,10
60,3810,CPU,0.77440025806427,0.7720000743865967,0.7770016193389893,10
60,3860,CPU,0.7919999837875367,0.7819979190826416,0.8010005950927734,10
60,3910,CPU,0.7955010414123536,0.7909994125366211,0.8039989471435547,10
60,3960,CPU,0.8159000396728515,0.8050003051757812,0.8260014057159424,10
60,4010,CPU,0.8197001218795776,0.810999870300293,0.8350002765655518,10
